SUPPLIER_CODE;CUSTOMER_CODE;DISTRIBUTOR_CODE;STORE_CODE;PRINCIPAL_CONNECTION_STORE_ID;PM_HANDLING;IS_PRODUCT_MAPPING;IS_BKL;NOTIFICATION_CODE;STATUS;FARMINDO_STORE;SALESMAN_CODE;SALESMAN_NAME;WAREHOUSE_CODE;NOTIFICATION_ALERT_CODE
021996;MAKROINDO;nestlept;06034;06D01;I;N;N;;A;makroptkrwg;;;;
021996;MAKROINDO;nestlept;06029;06D01;I;N;N;;A;makroptbtm;;;;
022050;MAKROINDO;nestlept;06031;06D01;I;N;N;;A;makroptlmp;;;;
022050;MAKROINDO;nestlept;06028;06D01;I;N;N;;A;makropttri;;;;
022050;MAKROINDO;nestlept;06009;06D01;I;N;N;;A;makroptdpb;;;;
022050;MAKROINDO;nestlept;06004;06D01;I;N;N;;A;makroptmyb;;;;
022050;MAKROINDO;nestlept;06017;06D01;I;N;N;;A;makroptbjb;;;;
022050;MAKROINDO;nestlept;06032;06D01;I;N;N;;A;makroptsmd;;;;
022050;MAKROINDO;nestlept;06033;06D01;I;N;N;;A;makroptmnd;;;;
022050;MAKROINDO;nestlept;06D01;06D01;I;N;N;;A;makroxdocl;;;;
022050;MAKROINDO;nestlept;06015;06D01;I;N;N;;A;makroptprb;;;;
022050;MAKROINDO;nestlept;06027;06D01;I;N;N;;A;makropttsk;;;;
022050;MAKROINDO;nestlept;06020;06D01;I;N;N;;A;makroptbpb;;;;
022050;MAKROINDO;nestlept;06002;06D01;I;N;N;;A;makroptsdb;;;;
022050;MAKROINDO;nestlept;06005;06D01;I;N;N;;A;makroptbdb;;;;
022050;MAKROINDO;nestlept;06006;06D01;I;N;N;;A;makroptcpb;;;;
022050;MAKROINDO;nestlept;06011;06D01;I;N;N;;A;makroptsmb;;;;
022050;MAKROINDO;nestlept;06013;06D01;I;N;N;;A;makroptmkb;;;;
022050;MAKROINDO;nestlept;06029;06D01;I;N;N;;A;makroptbtm;;;;
022050;MAKROINDO;nestlept;06008;06D01;I;N;N;;A;makroptcbb;;;;
022050;MAKROINDO;nestlept;06001;06D01;I;N;N;;A;makrobaru;;;;
022050;MAKROINDO;nestlept;06019;06D01;I;N;N;;A;makroptslb;;;;
022050;MAKROINDO;nestlept;06024;06D01;I;N;N;;A;makroptcrb;;;;
022050;MAKROINDO;nestlept;06038;06D01;I;N;N;;A;makropttegal;;;;
022050;MAKROINDO;nestlept;06034;06D01;I;N;N;;A;makroptkrwg;;;;
022050;MAKROINDO;nestlept;06021;06D01;I;N;N;;A;makroptjtb;;;;
022050;MAKROINDO;nestlept;06014;06D01;I;N;N;;A;makroptpbb;;;;
022050;MAKROINDO;nestlept;06007;06D01;I;N;N;;A;makroptasb;;;;
022050;MAKROINDO;nestlept;06018;06D01;I;N;N;;A;makroptbkb;;;;
022050;MAKROINDO;nestlept;06026;06D01;I;N;N;;A;makroptbgr;;;;
022050;MAKROINDO;nestlept;06016;06D01;I;N;N;;A;makroptygb;;;;
022050;MAKROINDO;nestlept;06023;06D01;I;N;N;;A;makroptckb;;;;
022050;MAKROINDO;nestlept;06003;06D01;I;N;N;;A;makroptkgb;;;;
022050;MAKROINDO;nestlept;06039;06D01;I;N;N;;A;makropttgerang;;;;
022050;MAKROINDO;nestlept;06037;06D01;I;N;N;;A;makroptmtrm;;;;
022050;MAKROINDO;nestlept;06030;06D01;I;N;N;;A;makroptpknsari;;;;
022050;MAKROINDO;nestlept;06022;06D01;I;N;N;;A;makroptsrg;;;;
022050;MAKROINDO;nestlept;06036;06D01;I;N;N;;A;makroptcmhi;;;;
022050;MAKROINDO;nestlept;06010;06D01;I;N;N;;A;makroptmdb;;;;
022060;MAKROINDO;kaoptjkt;06021;17816496;I;Y;N;;A;makroptjtb;;;;
022060;MAKROINDO;kaoptjkt;06026;17817992;I;Y;N;;A;makroptbgr;;;;
022060;MAKROINDO;kaoptjkt;06003;20002282;I;Y;N;;A;makroptkgb;;;;
022060;MAKROINDO;kaoptjkt;06007;20003987;I;Y;N;;A;makroptasb;;;;
022060;MAKROINDO;kaoptjkt;06006;20003824;I;Y;N;;A;makroptcpb;;;;
022060;MAKROINDO;kaoptjkt;06004;20003800;I;Y;N;;A;makroptmyb;;;;
022060;MAKROINDO;kaoptsby;06002;95004478;I;Y;N;;A;makroptsdb;;;;
022060;MAKROINDO;kaoptdpsr;06009;93001301;I;Y;N;;A;makroptdpb;;;;
022060;MAKROINDO;kaoptjkt;06008;20004018;I;Y;N;;A;makroptcbb;;;;
022060;MAKROINDO;kaoptsmg;06011;61000880;I;Y;N;;A;makroptsmb;;;;
022060;MAKROINDO;kaoptjkt;06039;17869983;I;Y;N;;A;makropttgerang;;;;
022060;MAKROINDO;kaoptbdg;06005;59001035;I;Y;N;;A;makroptbdb;;;;
022060;MAKROINDO;kaoptjkt;06023;17816800;I;Y;N;;A;makroptckb;;;;
022060;MAKROINDO;kaoptjkt;06018;17802198;I;Y;N;;A;makroptbkb;;;;
022060;MAKROINDO;kaoptjkt;06001;20002706;I;Y;N;;A;makrobaru;;;;
022060;MAKROINDO;kaoptjkt;06034;17869922;I;Y;N;;A;makroptkrwg;;;;
022060;MAKROINDO;kaoptslo;06019;17844551;I;Y;N;;A;makroptslb;;;;
022060;MAKROINDO;kaoptjkt;06030;17869964;I;Y;N;;A;makroptpknsari;;;;
022092;MAKROINDO;cocacola2;06022;2421105;I;Y;N;;A;makroptsrg;;;;
022092;MAKROINDO;cocacola2;06021;2421167;I;Y;N;;A;makroptjtb;;;;
022092;MAKROINDO;cocacola2;06036;7140810;I;Y;N;;A;makroptcmhi;;;;
022092;MAKROINDO;cocacola2;06019;3324511;I;Y;N;;A;makroptslb;;;;
022092;MAKROINDO;cocacola2;06008;2616220;I;Y;N;;A;makroptcbb;;;;
022092;MAKROINDO;cocacola2;06020;7687398;I;Y;N;;A;makroptbpb;;;;
022092;MAKROINDO;cocacola2;06016;3343281;I;Y;N;;A;makroptygb;;;;
022092;MAKROINDO;cocacola2 ;06034;1109952;I;Y;N;;A;makroptkrwg;;;;
022092;MAKROINDO;cocacola2;06030;7142030;I;Y;N;;A;makroptpknsari;;;;
022092;MAKROINDO;cocacola2;06007;2430025;I;Y;N;;A;makroptasb;;;;
022092;MAKROINDO;cocacola2;06011;3007082;I;Y;N;;A;makroptsmb;;;;
022092;MAKROINDO;cocacola2;06029;5773330;I;Y;N;;A;makroptbtm;;;;
022092;MAKROINDO;cocacola2;06031;1009630;I;Y;N;;A;makroptlmp;;;;
022092;MAKROINDO;cocacola2;06001;2522008;I;Y;N;;A;makrobaru;;;;
022092;MAKROINDO;cocacola2;06005;4020002;I;Y;N;;A;makroptbdb;;;;
022092;MAKROINDO;cocacola2;06002;1019553;I;Y;N;;A;makroptsdb;;;;
022092;MAKROINDO;cocacola2 ;06033;1115360;I;Y;N;;A;makroptmnd;;;;
022092;MAKROINDO;cocacola2;06023;2421195;I;Y;N;;A;makroptckb;;;;
022092;MAKROINDO;cocacola2;06012;1161362;I;Y;N;;A;makroptsbb;;;;
022092;MAKROINDO;cocacola2;06006;2376002;I;Y;N;;A;makroptcpb;;;;
022092;MAKROINDO;cocacola2;06014;6044166;I;Y;N;;A;makroptpbb;;;;
022092;MAKROINDO;cocacola2;06039;7263545;I;Y;N;;A;makropttgerang;;;;
022092;MAKROINDO;cocacola2;06090;;I;Y;N;;A;makroptdcb;;;;
022092;MAKROINDO;cocacola2;06027;4676007;I;Y;N;;A;makropttsk;;;;
022092;MAKROINDO;cocacola2 ;06013;7050020;I;Y;N;;A;makroptmkb;;;;
022092;MAKROINDO;cocacola2;06D01;22092;I;Y;N;;A;makroxdocl;;;;
022092;MAKROINDO;cocacola2;06010;5555115;I;Y;N;;A;makroptmdb;;;;
022092;MAKROINDO;cocacola2;06037;7140293;I;Y;N;;A;makroptmtrm;;;;
022092;MAKROINDO;cocacola2;06018;2273052;I;Y;N;;A;makroptbkb;;;;
022092;MAKROINDO;cocacola2;06028;1559817;I;Y;N;;A;makropttri;;;;
022092;MAKROINDO;cocacola2;06003;2444007;I;Y;N;;A;makroptkgb;;;;
022092;MAKROINDO;cocacola2;06004;2452014;I;Y;N;;A;makroptmyb;;;;
022092;MAKROINDO;cocacola2;06026;8710020;I;Y;N;;A;makroptbgr;;;;
022092;MAKROINDO;cocacola2;06038;7142275;I;Y;N;;A;makropttegal;;;;
022092;MAKROINDO;cocacola2;06024;4597352;I;Y;N;;A;makroptcrb;;;;
022092;MAKROINDO;cocacola2;06015;6639303;I;Y;N;;A;makroptprb;;;;
022092;MAKROINDO;cocacola2;06017;7660055;I;Y;N;;A;makroptbjb;;;;
022092;MAKROINDO;cocacola2;06009;5006022;I;Y;N;;A;makroptdpb;;;;
022092;MAKROINDO;cocacola2;06032;7715955;I;Y;N;;A;makroptsmd;;;;
022122;MAKROINDO;danoneaqua;06009;950088076;I;Y;N;;A;makroptdpb;;;;
022122;MAKROINDO;danoneaqua;06030;950243271;I;Y;N;;A;makroptpknsari;;;;
022122;MAKROINDO;danoneaqua;06003;950066457;I;Y;N;;A;makroptkgb;;;;
022122;MAKROINDO;danoneaqua;06039;950249426;I;Y;N;;A;makropttgerang;;;;
022122;MAKROINDO;danoneaqua;06023;950062843;I;Y;N;;A;makroptckb;;;;
022122;MAKROINDO;danoneaqua;06001;950066459;I;Y;N;;A;makrobaru;;;;
022122;MAKROINDO;danoneaqua;06006;950069138;I;Y;N;;A;makroptcpb;;;;
022122;MAKROINDO;danoneaqua;06004;950063567;I;Y;N;;A;makroptmyb;;;;
022122;MAKROINDO;danoneaqua;06021;950063566;I;Y;N;;A;makroptjtb;;;;
022122;MAKROINDO;danoneaqua;06008;950062842;I;Y;N;;A;makroptcbb;;;;
022122;MAKROINDO;danoneaqua;06034;950230812;I;Y;N;;A;makroptkrwg;;;;
022122;MAKROINDO;danoneaqua;06007;950063565;I;Y;N;;A;makroptasb;;;;
022122;MAKROINDO;danoneaqua;06002;950075564;I;Y;N;;A;makroptsdb;;;;
022122;MAKROINDO;danoneaqua;06026;950105124;I;Y;N;;A;makroptbgr;;;;
022122;MAKROINDO;danoneaqua;06018;950066456;I;Y;N;;A;makroptbkb;;;;
022906;MAKROINDO;nestlept;06037;06D01;I;N;N;;A;makroptmtrm;;;;
022906;MAKROINDO;nestlept;06007;06D01;I;N;N;;A;makroptasb;;;;
022906;MAKROINDO;nestlept;06009;06D01;I;N;N;;A;makroptdpb;;;;
022906;MAKROINDO;nestlept;06036;06D01;I;N;N;;A;makroptcmhi;;;;
022906;MAKROINDO;nestlept;06031;06D01;I;N;N;;A;makroptlmp;;;;
022906;MAKROINDO;nestlept;06028;06D01;I;N;N;;A;makropttri;;;;
022906;MAKROINDO;nestlept;06038;06D01;I;N;N;;A;makropttegal;;;;
022906;MAKROINDO;nestlept;06034;06D01;I;N;N;;A;makroptkrwg;;;;
022906;MAKROINDO;nestlept;06014;06D01;I;N;N;;A;makroptpbb;;;;
022906;MAKROINDO;nestlept;06008;06D01;I;N;N;;A;makroptcbb;;;;
022906;MAKROINDO;nestlept;06018;06D01;I;N;N;;A;makroptbkb;;;;
022906;MAKROINDO;nestlept;06005;06D01;I;N;N;;A;makroptbdb;;;;
022906;MAKROINDO;nestlept;06004;06D01;I;N;N;;A;makroptmyb;;;;
022906;MAKROINDO;nestlept;06015;06D01;I;N;N;;A;makroptprb;;;;
022906;MAKROINDO;nestlept;06024;06D01;I;N;N;;A;makroptcrb;;;;
022906;MAKROINDO;nestlept;06011;06D01;I;N;N;;A;makroptsmb;;;;
022906;MAKROINDO;nestlept;06022;06D01;I;N;N;;A;makroptsrg;;;;
022906;MAKROINDO;nestlept;06020;06D01;I;N;N;;A;makroptbpb;;;;
022906;MAKROINDO;nestlept;06006;06D01;I;N;N;;A;makroptcpb;;;;
